,Dallas Mavericks,Orlando Magic,San Antonio Spurs,Denver Nuggets,Brooklyn Nets,Washington Wizards,Golden State Warriors,Los Angeles Clippers,Los Angeles Lakers,Memphis Grizzlies,Milwaukee Bucks,Phoenix Suns,Miami Heat,Indiana Pacers,Sacremento Kings,Detroit Pistons,New York Knicks,Portland Trail Blazers,Oklahoma City Thunder,Cleveland Cavaliers,Toronto Raptors,New Orleans Pelicans,Charlotte Hornets,Atlanta Hawks,Minnesota Timberwolves,Boston Celtics,Houston Rockets,Chicago Bulls,Utah Jazz,Philadelphia 76ers
Portland Trail Blazers,1632.093,2528.551,1721.7655,981.7062,2447.2453,2353.4809,535.9889,765.1598,826.1333,1849.3946,1718.3599,1005.9644,2707.3312,1885.4139,483.4937,1968.2872,2444.4292,0.0,1487.0788,2054.951,2113.9151,2062.0045,2289.6252,2171.8143,1425.9882,2538.7247,1836.0312,1756.3684,634.9595,2412.5382
Oklahoma City Thunder,188.5971,1058.6093,419.4203,506.0459,1328.4163,1152.742,1387.5482,1176.8498,1182.54,422.35,732.854,841.8783,1226.0089,689.4627,1339.5573,910.5682,1328.1314,1487.0788,0.0,951.7071,1117.362,575.7919,940.9628,756.2532,693.5348,1495.7782,413.1457,691.3556,863.6572,1258.6446
Cleveland Cavaliers,1025.7787,893.3907,1254.7361,1228.2557,406.4296,305.0638,2166.155,2028.9886,2050.9848,630.9248,336.6826,1749.3045,1086.4992,263.484,2102.1608,91.4508,404.6541,2054.951,951.7071,0.0,189.2896,924.3715,435.0082,553.9415,631.6225,550.5312,1114.4321,310.7388,1569.1022,359.3634
Toronto Raptors,1204.0045,1047.3502,1437.539,1346.959,344.4883,349.677,2268.4746,2151.3252,2177.4079,817.5387,432.0086,1890.3233,1232.139,440.7831,2201.8062,206.7977,340.8489,2113.9151,1117.362,189.2896,0.0,1113.1758,585.9575,733.5013,694.2305,430.2862,1301.2287,438.8789,1669.8058,337.466
New Orleans Pelicans,443.1745,534.1569,503.6791,1081.7736,1169.5947,966.2215,1923.3979,1680.7988,1673.3948,357.5989,910.9297,1314.951,669.6522,712.2112,1882.9948,939.5953,1171.4375,2062.0045,575.7919,924.3715,1113.1758,0.0,649.8349,424.8928,1051.1142,1359.6935,317.3134,833.5547,1434.2969,1086.9654
Charlotte Hornets,930.8922,461.7681,1102.4237,1359.8385,530.8776,329.6076,2300.7421,2112.3565,2121.3558,521.1953,659.4743,1782.6943,651.691,427.9907,2245.2794,505.1798,533.3799,2289.6252,940.9628,435.0082,585.9575,649.8349,0.0,226.812,939.7567,721.0254,927.0195,589.3208,1728.2592,447.9037
Atlanta Hawks,721.2675,401.3094,879.2303,1212.6408,746.2977,542.771,2137.9188,1933.0529,1937.7084,336.5499,668.3619,1591.384,604.6004,425.5106,2086.3808,596.5178,748.3189,2171.8143,756.2532,553.9415,733.5013,424.8928,226.812,0.0,907.2351,936.7689,701.6022,588.1206,1583.6114,663.3833
Minnesota Timberwolves,861.8879,1308.4333,1109.0547,699.6655,1021.6188,934.5725,1582.9965,1491.5052,1524.6785,700.0284,298.4323,1279.2376,1511.3248,511.8663,1514.5761,543.2481,1018.8888,1425.9882,693.5348,631.6225,694.2305,1051.1142,939.7567,907.2351,0.0,1124.0181,1056.3818,353.7014,986.693,987.0746
Boston Celtics,1551.7085,1114.9996,1764.2904,1770.4664,190.5692,394.0195,2697.7564,2573.9782,2597.8578,1136.9373,857.9413,2299.7374,1255.3857,807.3074,2631.4619,613.4625,188.4543,2538.7247,1495.7782,550.5312,430.2862,1359.6935,721.0254,936.7689,1124.0181,0.0,1605.6456,852.8456,2099.0374,273.647
Houston Rockets,226.2635,848.7439,186.4632,879.831,1419.539,1220.2618,1643.8867,1387.4976,1375.3338,483.698,1005.1522,1016.4049,967.8893,865.3643,1609.3066,1105.8172,1420.679,1836.0312,413.1457,1114.4321,1301.2287,317.3134,927.0195,701.6022,1056.3818,1605.6456,0.0,940.1484,1201.1057,1339.3331
Chicago Bulls,802.7449,985.4522,1048.7785,918.9426,717.1086,598.0283,1855.4162,1721.4394,1745.0134,482.499,81.3372,1451.9967,1188.9899,166.3347,1791.4784,239.4745,715.2724,1756.3684,691.3556,310.7388,438.8789,833.5547,589.3208,588.1206,353.7014,852.8456,940.1484,0.0,1258.4789,668.1302
Utah Jazz,999.4073,1918.5527,1089.7349,370.9744,1975.1135,1847.5428,598.7197,533.9412,580.8015,1250.9521,1242.1072,505.0455,2089.5572,1357.6549,533.1931,1492.0922,1973.1391,634.9595,863.6572,1569.1022,1669.8058,1434.2969,1728.2592,1583.6114,986.693,2099.0374,1201.1057,1258.4789,0.0,1925.9989
Philadelphia 76ers,1298.5043,859.5248,1502.4324,1579.763,83.099,120.7444,2521.7927,2375.6705,2394.8763,879.4245,695.4096,2081.8411,1015.3515,583.9346,2458.6424,444.2656,85.4801,2412.5382,1258.6446,359.3634,337.466,1086.9654,447.9037,663.3833,987.0746,273.647,1339.3331,668.1302,1925.9989,0.0
